epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3717.66,0.33008,0.28973,0.85574,0.98419,0.98534,0.99405,0.9677,0.28768,0.20122,0.82149,0.004258,0.004258,0.004258
60,3779.35,0.33055,0.28824,0.85524,0.99052,0.98317,0.99465,0.96793,0.2884,0.18693,0.82523,0.004159,0.004159,0.004159
61,3842.31,0.33219,0.28781,0.85865,0.98417,0.98793,0.99303,0.96546,0.28838,0.18817,0.82467,0.00406,0.00406,0.00406
62,3904.81,0.32803,0.28558,0.85581,0.98874,0.98926,0.99479,0.96971,0.28834,0.18354,0.82608,0.003961,0.003961,0.003961
63,3968.51,0.32509,0.28347,0.85541,0.99138,0.98879,0.99452,0.96894,0.28521,0.17857,0.82349,0.003862,0.003862,0.003862
64,4031.71,0.3258,0.28537,0.85694,0.98629,0.98879,0.99425,0.96968,0.2879,0.18219,0.8221,0.003763,0.003763,0.003763
65,4094.7,0.32505,0.27867,0.85589,0.98627,0.98927,0.99453,0.9698,0.28666,0.1847,0.82252,0.003664,0.003664,0.003664
66,4158.54,0.32461,0.28164,0.85539,0.98454,0.9874,0.9946,0.96989,0.28906,0.18502,0.8278,0.003565,0.003565,0.003565
67,4220.36,0.32125,0.27829,0.85465,0.99305,0.9845,0.9946,0.96978,0.28588,0.18019,0.8251,0.003466,0.003466,0.003466
68,4283.14,0.32155,0.27336,0.85567,0.9885,0.97844,0.99403,0.97054,0.28661,0.18781,0.82866,0.003367,0.003367,0.003367
69,4346.11,0.31687,0.2693,0.85014,0.99221,0.98268,0.99468,0.96951,0.28464,0.17455,0.82271,0.003268,0.003268,0.003268
70,4407.34,0.31811,0.2695,0.85307,0.99034,0.99224,0.9943,0.96982,0.28372,0.17307,0.82467,0.003169,0.003169,0.003169
71,4469.99,0.31347,0.26681,0.85169,0.9864,0.99245,0.99473,0.97113,0.28133,0.16857,0.82207,0.00307,0.00307,0.00307
72,4532.25,0.31466,0.26463,0.85205,0.98712,0.98895,0.99474,0.9708,0.28127,0.16855,0.82117,0.002971,0.002971,0.002971
73,4594.93,0.31235,0.26251,0.85126,0.99185,0.99275,0.99487,0.97088,0.28341,0.16459,0.82181,0.002872,0.002872,0.002872
74,4657.84,0.31138,0.26052,0.85073,0.98889,0.99146,0.99479,0.97,0.28329,0.1665,0.82703,0.002773,0.002773,0.002773
75,4720.08,0.30973,0.25845,0.85112,0.99129,0.99138,0.99484,0.9706,0.28312,0.16648,0.82978,0.002674,0.002674,0.002674
76,4782.48,0.30806,0.25845,0.84974,0.99187,0.9931,0.9949,0.97105,0.28107,0.16195,0.82201,0.002575,0.002575,0.002575
77,4844.25,0.30681,0.25467,0.84997,0.99353,0.98965,0.99392,0.96924,0.28156,0.16285,0.82027,0.002476,0.002476,0.002476
78,4906.51,0.30313,0.25249,0.84787,0.99463,0.99395,0.99358,0.97041,0.2801,0.15897,0.82022,0.002377,0.002377,0.002377
79,4968.33,0.30319,0.25107,0.84756,0.99469,0.98707,0.99458,0.97247,0.28288,0.16515,0.82204,0.002278,0.002278,0.002278
80,5031.96,0.30213,0.24666,0.84728,0.99392,0.99209,0.99494,0.97329,0.2817,0.16476,0.823,0.002179,0.002179,0.002179
81,5093.42,0.29982,0.24606,0.84681,0.99484,0.99169,0.99494,0.97322,0.28168,0.15967,0.82265,0.00208,0.00208,0.00208
82,5157.17,0.30018,0.24653,0.84766,0.98736,0.99138,0.99485,0.97276,0.28189,0.16154,0.82201,0.001981,0.001981,0.001981
83,5227.77,0.29779,0.24213,0.84534,0.98882,0.99138,0.99457,0.97205,0.28172,0.15873,0.82223,0.001882,0.001882,0.001882
84,5297.7,0.29647,0.23942,0.84477,0.99012,0.99066,0.99455,0.97184,0.27985,0.1559,0.82113,0.001783,0.001783,0.001783
85,5367.22,0.29797,0.24237,0.84623,0.99348,0.991,0.99483,0.97276,0.27784,0.15519,0.82043,0.001684,0.001684,0.001684
86,5437.86,0.29146,0.23377,0.84355,0.99189,0.99483,0.99452,0.97313,0.27782,0.15242,0.82088,0.001585,0.001585,0.001585
87,5502.11,0.29249,0.23183,0.84459,0.99283,0.99293,0.99487,0.97401,0.27827,0.15282,0.82139,0.001486,0.001486,0.001486
88,5564.71,0.29064,0.23366,0.84426,0.993,0.99509,0.99442,0.97368,0.27749,0.14945,0.8209,0.001387,0.001387,0.001387
89,5626.81,0.28768,0.23191,0.84268,0.99148,0.99228,0.99453,0.9731,0.2772,0.15185,0.8204,0.001288,0.001288,0.001288
90,5688.93,0.28898,0.23145,0.8436,0.99166,0.99569,0.9948,0.97247,0.27798,0.15242,0.82079,0.001189,0.001189,0.001189
91,5751.08,0.20104,0.14067,0.78267,0.99103,0.99483,0.99489,0.97273,0.27843,0.15133,0.82257,0.00109,0.00109,0.00109
92,5812.35,0.20107,0.13964,0.78467,0.99565,0.98699,0.99484,0.9724,0.27748,0.15375,0.82162,0.000991,0.000991,0.000991
93,5873.76,0.19638,0.13362,0.78148,0.98924,0.99397,0.99486,0.97241,0.27725,0.15469,0.82122,0.000892,0.000892,0.000892
94,5935.44,0.19579,0.13278,0.7817,0.99165,0.99476,0.99486,0.97327,0.27799,0.1531,0.82031,0.000793,0.000793,0.000793
95,5996.62,0.19427,0.13072,0.78231,0.99324,0.99052,0.99487,0.97323,0.27708,0.15259,0.82135,0.000694,0.000694,0.000694
96,6058.1,0.19234,0.1301,0.78097,0.99395,0.99178,0.9949,0.97315,0.27728,0.15088,0.81976,0.000595,0.000595,0.000595
97,6120.25,0.1917,0.129,0.7804,0.99582,0.99264,0.99493,0.97384,0.27654,0.14963,0.82018,0.000496,0.000496,0.000496
98,6183.25,0.18906,0.12633,0.78281,0.99504,0.99281,0.99494,0.97389,0.27549,0.14923,0.81997,0.000397,0.000397,0.000397
99,6246.17,0.18739,0.12459,0.78137,0.9943,0.99128,0.99495,0.97316,0.275,0.14947,0.82148,0.000298,0.000298,0.000298
100,6309.32,0.18615,0.12314,0.78052,0.99413,0.98966,0.99491,0.97421,0.27463,0.15019,0.82236,0.000199,0.000199,0.000199
